Abrev.	abreviatura.
a. C.	antes do Chrísto.
Açor.	termo açoreano.
Adj.	adjectivo.
Adj. f.	adjectivo feminino.
Adv.	adverbio.
Afr.	africano.
Agr.	termo de Agricultura.
al.	alemão.
alat.	alatinado.
alt. al.	alto alemão.
alter.	alteração.
Anat.	termo de Anatomia.
Angl.	Anglicismo.
angl. sax.	anglo saxão.
Ant.	termo antigo.
ant. alt. al.	antigo alto alemão.
Anthrop.	Anthropologia.
apher.	aphérese.
ár.	árabe.
Arith.	termo de Arithmética.
art. def.	artigo deﬁnido.
Artilh.	termo de Artilharia.
as.	termo asiático.
Arm.	termo de Armaria.
Astrol.	termo de Astrologia.
aum.	aumentativo.
Bacter.	termo de Bacteriologia.
berb.	berbere.
Bibl. Nac.	Bibliotheca Nacional.
Biol.	termo de Biologia.
b. lat.	baixo latim.
borg.	borgonhês.
Bot.	termo de Botânica.
Bras.	termo brasileiro.
bret.	bretão.
Burl.	termo burlesco.
Caboverd.	termo caboverdeano.
car.	caraíba.
Carp.	termo de Carpintaria.
carth.	carthaginês.
cast.	castelhano.
celt.	céltico.
Cf.	conﬁra.
chancell.	chancellaria.
Chapel.	termo de Chapelaria.
chil.	chileno.
chin.	chinês.
Chul.	termo chulo.
Chron.	termo de Chronologia.
Cir.	termo de Cirurgia.
cit.	citado.
comp.	comparativo.
conc.	concani.
cong.	conguês.
conj.	conjuncção.
Constr.	termo de construcção.
contr.	contracção.
corr.	corruptela.
Cp.	compare.
Cutel.	termo de Cutelaria.
Cyn.	termo de Cynegética.
Icht.	termo de Ichthyologia.
def.	defectivo.
id.	idem.
deﬁn.	deﬁnido.
imper.	imperativo.
dem.	deminutivo.
impess.	impessoal.
demonstr.	demonstrativo.
impropr.	em sentido impróprio.
der.	derivado; derivação.
inch.	verbo inchoativo.
des.	desusado.
ind.	termo indiano.
deprec.	depreciativo.
inf.	termo infantil.
diccion.	diccionário; diccionarista,
inﬂ.	inﬂuência.
din.	dinamarquês.
ingl.	inglês.
doc.	documento.
interj.	interjeição.
eccles.	ecclesiastico.
interrog.	interrogação.
Econ. polít.	termo de Economia Política.
iron.	ironia.
ed.	edição.
it.	italiano.
egýp.	egýpcio.
Ital.	italianismo.
Enol.	termo de Enologia.
jap.	japonês.
Entom.	termo de Entomologia.
jav.	javanês.
Equit.	termo de Equitação.
