a.	abrev.
a	m. | Mús. | Adj.
a	art. | fem. | Ant. | lat.
a	prep. | lat.
a	pron. | fem.
á	
á	interj.
a. C.	abrev.
á cêrca	loc. prep. | seg. | prep. | lat.
a final	adv.
a. m.	abrev. | us.
á!	interj. | t.
á! á! á!	interj.
a-cantaros	loc. adv.
á-cima	loc. adv. | Ant.
á-clara	f. | loc. adv. | des. | as.
a-d’el-rei	m.
a-de-mais	adv. e prep.
á-derradeira	loc. adv. | Ant.
a-deshoras	loc. adv.
a-desoras	loc. adv.
á-dica	loc. adv. | Gír. | Cp.
a-feito	loc. adv. | Prov. minh.
a-flux	loc. adv.
a-froixo	adv.
á-futelifate	loc. adv. | prov. | Extrem. | des. | as. | contr. | alter.
a-l’obra!	interj. | loc. | Cf. | contr.
a-la-grande	loc. adv. | Ant. | Cf.
a-la-una	adv. | m. | Prov. alent. | loc. | cast.
a-lugares	loc. adv. | Ant.
a-miúdo	adv. | corr. | Cf.
a-nado	loc. adv.
a-par	loc. prep. | loc. adv.
á-parte	adv. | m.
á-pela-manhan	adv. | Prov. trasm.
a-primas	loc. adv. | Ant.
a-propósito	loc. adv.
á-qui-qui	adv. | Chul.
a-tempo	adv. | loc. | m.
á-tôa	loc. adv.
á-xis	m. | Ant. | V.
aa	m. pl.
aacima	adv. | Ant.
aal	m.
aalênio	m. e adj. | Geol.
aata	f. | Bras. | as. | mal.
aaz	f. | Ant. | lat.
ab	pref. | lat.
abá	m.
aba	f.
aba	m. | syr.
ababás	m. pl.
abacá	m.
abacamartado	adj.
abaçanar	v. t. | V.
abacate	m.
abacateiro	m.
abacatina	f.
abacatirana	f.
abacaxi	m.
abacelado	adj.
abacelamento	m.
abacelar	v. t.
abacellado	adj.
abacellamento	m.
abacellar	v. t.
abaceto	m.
abacial	adj. | b. lat.
abacinar	v. t. | b. lat.
abacista	m. | b. lat.
ábaco	m. | Artilh. | lat.
abactor	m. | lat.
abáculo	m.
abacutaia	f.
abada	f.
abada	f. | mal.
abadado	m. | Ant.
abadágio	m.
abadalassa	m. | Cf.
abadar	v. t.
abadavina	f.
abade	m. | b. lat.
abadecídio	m. | Cf.
abadejo	m. | prov.
abadengo	m. | Ant. | Adj.
abadernar	v. t. | Náut.
abadesco	adj.
abadessa	f. | b. lat.
abadessado	m. | as.
abadessona	f. | fam. | Cf.
abadia	f.
abadiado	m.
abadim	m. | Ant.
abadir	m. | Cf. | lat.
abado	adj.
abaetado	adj.
abaetar	v. t.
abafa!	interj. | as.
abafação	f. | p.
abafadamente	adv.
abafadela	f.
abafadiço	adj.
abafado	adj. | ár. | mal.
abafador	adj. | m. | prov.
abafadura	f.
abafamento	m. | ár. | Adj.
abafar	v. t. | vin. | v. i. | V. | p. | prov.
abafar	m.
abafarete	m. | neol.
abafas	f. pl. | Ant.
abafeira	f. | m.
abafo	m.
abagoar	v. t. | Prov. minh.
abagum	m.
abahuladamente	adv.
abahulado	adj.
abahulador	m.
abahulamento	m.
abahular	v. t.
abainhar	v. t.
abaionetar	v. t.
abairramento	m.
abairrar	v. t.
abaixa	f.
abaixadela	f.
abaixador	m.
abaixadura	f.
abaixamento	m.
abaixante	m.
abaixar	v. t. | ﬁg. | V. | p. | prov. | loc. | fam.
abaixo	adv. | m.
abajoujamento	m.
abajoujar-se	v. p.
abaju	m. | V. | fr.
abaju	m.
abajúrdio	m. | voc. | us.
abalada	f.
abalado	adj. | mal.
abaladura	f. | Prov. minh.
abalamento	m. | Chron.
abalançamento	m.
abalançar	v. t.
abalar	v. t. | v. i.
abalaustramento	m.
abalaustrar	v. t.
abalável	adj.
abaldear	v. t.
abalienação	f. | lat.
abalienar	v. t. | lat.
abalistar	v. t.
abalizadamente	adv.
abalizado	adj.
abalizador	m. | as.
abalizamento	m.
abalizar	v. t.
abalo	m.
abaloar	v. t.
abalofar	v. t.
abalonado	adj. | neol. | Cf.
abaloso	adj. | Bras.
abalrôa	f.
abalroação	f.
abalroada	f. | V.
abalroadela	f. | V.
abalroador	m. e adj.
abalroamento	m.
abalroar	v. t.
abalsar	v. t.
abalseirar	v. t.
abaluartamento	m.
abaluartar	v. t.
abama	f.
abâmeas	f. | pl.
abanadela	f. | fam.
abanador	m.
abanadura	f.
abanamoscas	m. | ﬁg.
abananado	adj. | fam. | Prov. alent.
abananar	v. t. | fam.
abanante	adj.
abanão	m. | pop.
abanar	v. t. | fam. | loc. | as.
abancado	m.
abancar	v. t. | v. i.
abandalhado	adj.
abandalhar	v. t.
abandar	v. t. | V. | p.
abandar	v. t. | Cf.
abandear	v. t.
abandeirar	v. t.
abandejar	v. t.
abandoar	v. t. | V.
abandonadamente	adv.
abandonado	adj.
abandonamento	m. | V.
abandonar	v. t. | V. | p.
abandonatário	m. | neol.
abandonável	adj.
abandono	m.
abaneenga	m. | Bras.
abanga	f.
abanheenga	m. | Bras.
abanicar	v. i.
abanico	m. | Ant.
abaninho	m. | V.
abano	m. | ár.
abantesma	f. | pop. | ﬁg.
abanto	m. | Adj.
abapo	m.
abaquetar	v. t.
abar	v. t. | as.
abará	m. | Bras. | t.
abaratar	v. t.
abarbado	adj.
abarbar	v. t. | v. i.
abarbarado	adj. | Bras.
abarbarizar	v. t. | V.
abarbear	v. t.
abarbelar	v. t.
abarbellar	v. t.
abarca	f. | mal. | Cp.
abarcador	m.
abarcamento	m.
abarcante	adj.
abarcar	v. t. | cast.
abarcas	f. pl. | Prov. alg.
abarém	m. | Bras.
abaremo-temo	m.
abarga	f. | Ant.
abaritonado	adj.
abarracado	adj.
abarracamento	m.
abarracar	v. t.
abarrancar	v. i. | V. | p.
abarregado	adj. | Topogr.
abarregamento	m.
abarregar	v. | t. | Ant. | p. | Cp.
abarreirar	v. t.
abarretar	v. t.
abarroado	adj. | Ant.
abarrotado	adj. | Ant.
abarrotamento	m.
abarrotar	v. t.
abarruntar	v. t. | Prov. trasm.
abarticular	adj. | Med. | as. | lat.
abaruna	m. | Bras. | Cf.
abasia	f. | Med. | gr.
abasicarpo	m. | gr.
abásico	adj. | m.
abassis	m. pl. | Ant. | Cf.
abassor	adj. | Anat. | gr.
abastadamente	adv.
abastado	adj.
