lema_pt	traducao_en	marcas_dicionario	motivo_tecnico	status_traducao
a.	the.	abrev.		
a	the	m. | Mús. | Adj.		
a	to	m. | Mús. | Adj.		
a	you	m. | Mús. | Adj.		
a	at	m. | Mús. | Adj.		
a	in	m. | Mús. | Adj.		
a	with	m. | Mús. | Adj.		
a	it	m. | Mús. | Adj.		
a	ye	m. | Mús. | Adj.		
a	the	art. | fem. | Ant. | lat.		
a	to	art. | fem. | Ant. | lat.		
a	you	art. | fem. | Ant. | lat.		
a	at	art. | fem. | Ant. | lat.		
a	in	art. | fem. | Ant. | lat.		
a	with	art. | fem. | Ant. | lat.		
a	it	art. | fem. | Ant. | lat.		
a	ye	art. | fem. | Ant. | lat.		
a	the	prep. | lat.		
a	to	prep. | lat.		
a	you	prep. | lat.		
a	at	prep. | lat.		
a	in	prep. | lat.		
a	with	prep. | lat.		
a	it	prep. | lat.		
a	ye	prep. | lat.		
a	the	pron. | fem.		
a	to	pron. | fem.		
a	you	pron. | fem.		
a	at	pron. | fem.		
a	in	pron. | fem.		
a	with	pron. | fem.		
a	it	pron. | fem.		
a	ye	pron. | fem.		
á	the			
á	the	interj.		
a. C.	BC	abrev.		
á cêrca	there is about	loc. prep. | seg. | prep. | lat.		
a final	in the end	adv.		
a. m.	a.m.	abrev. | us.		
á!	the!	interj. | t.		
á! á! á!	Ha! Ha! Ha!	interj.		
a-cantaros	a-cantaros	loc. adv.		sem_traducao
á-cima	above	loc. adv. | Ant.		
á-clara	á-clara	f. | loc. adv. | des. | as.		sem_traducao
a-d’el-rei	a-d’el-rei	m.		sem_traducao
a-de-mais	too much	adv. e prep.		
á-derradeira	the ultimate	loc. adv. | Ant.		
a-deshoras	a-deshoras	loc. adv.		sem_traducao
a-desoras	a-deshoras	loc. adv.		
á-dica	tip	loc. adv. | Gír. | Cp.		
a-feito	done	loc. adv. | Prov. minh.		
a-flux	a-flux	loc. adv.		sem_traducao
a-froixo	a-froixo	adv.		sem_traducao
á-futelifate	á-futelifate	loc. adv. | prov. | Extrem. | des. | as. | contr. | alter.		sem_traducao
a-l’obra!	a-l’obra!	interj. | loc. | Cf. | contr.		sem_traducao
a-la-grande	a-la-grande	loc. adv. | Ant. | Cf.		sem_traducao
a-la-una	a-la-una	adv. | m. | Prov. alent. | loc. | cast.		sem_traducao
a-lugares	a-places	loc. adv. | Ant.		
a-miúdo	often	adv. | corr. | Cf.		
a-nado	a-nado	loc. adv.		sem_traducao
a-par	a-par	loc. prep. | loc. adv.		sem_traducao
á-parte	apart	adv. | m.		
á-pela-manhan	in the morning	adv. | Prov. trasm.		
a-primas	a-primas	loc. adv. | Ant.		sem_traducao
a-propósito	by the way	loc. adv.		
á-qui-qui	a-qui-qui	adv. | Chul.		sem_traducao
a-tempo	a-time	adv. | loc. | m.		
á-tôa	á-tôa	loc. adv.		sem_traducao
á-xis	axis	m. | Ant. | V.		
aa	aa	m. pl.		sem_traducao
aacima	above	adv. | Ant.		
aal	aal	m.		sem_traducao
aalênio	alenium	m. e adj. | Geol.	termo_tecnico_cientifico:Geol.	
aata	aata	f. | Bras. | as. | mal.		sem_traducao
aaz	aaz	f. | Ant. | lat.		sem_traducao
ab	ab	pref. | lat.		sem_traducao
abá	tab	m.		
aba	tab	f.		
aba	flap	f.		
aba	brim	f.		
aba	rim	f.		
aba	lip	f.		
aba	edge	f.		
aba	tail	f.		
aba	lap	f.		
aba	shoulder	f.		
aba	lappet	f.		
aba	foot	f.		
aba	Basque	f.		
aba	coast	f.		
aba	tab	m. | syr.		
aba	flap	m. | syr.		
aba	brim	m. | syr.		
aba	rim	m. | syr.		
aba	lip	m. | syr.		
aba	edge	m. | syr.		
aba	tail	m. | syr.		
aba	lap	m. | syr.		
aba	shoulder	m. | syr.		
aba	lappet	m. | syr.		
aba	foot	m. | syr.		
aba	Basque	m. | syr.		
aba	coast	m. | syr.		
ababás	ababas	m. pl.		sem_traducao
abacá	abaca	m.		sem_traducao
abacamartado	abacamartado	adj.		sem_traducao
abaçanar	abaçanar	v. t. | V.		sem_traducao
abacate	avocado	m.		
abacate	alligator pear	m.		
abacateiro	avocado tree	m.		
abacatina	avocado	f.		
abacatirana	abacatirana	f.		sem_traducao
abacaxi	pineapple	m.		
abacelado	acrobatic	adj.		
abacelamento	abatemento	m.		
abacelar	abacelar	v. t.		sem_traducao
abacellado	abacellado	adj.		sem_traducao
abacellamento	abacellamento	m.		sem_traducao
abacellar	abacellar	v. t.		sem_traducao
abaceto	avocado	m.		
abacial	abbey	adj. | b. lat.		
abacinar	abacinate	v. t. | b. lat.		
abacista	abacist	m. | b. lat.		
ábaco	abacus	m. | Artilh. | lat.		
abactor	abactor	m. | lat.		sem_traducao
abáculo	abaculum	m.		
abacutaia	abacutaia	f.		sem_traducao
abada	abada	f.		sem_traducao
abada	abada	f. | mal.		sem_traducao
abadado	abbey	m. | Ant.		
abadágio	abadágio	m.		sem_traducao
abadalassa	abadalassa	m. | Cf.		sem_traducao
abadar	abadar	v. t.		sem_traducao
